cell	arm	task	transcript	spawns	spawns_with_model	models_asked
cells-hc1-crc32-placebo/hc1cb01	placebo	Crc32	read	2	0	-
cells-hc1-crc32-placebo/hc1cb02	placebo	Crc32	read	2	0	-
cells-hc1-crc32-placebo/hc1cb03	placebo	Crc32	read	2	0	-
cells-hc1-crc32-plain/hc1cp01	plain	Crc32	read	3	0	-
cells-hc1-crc32-plain/hc1cp01.FAILED-BUILD	-	-	ASIDE	-	-	-
cells-hc1-crc32-plain/hc1cp01.NO-RUN	-	-	ASIDE	-	-	-
cells-hc1-crc32-plain/hc1cp02	plain	Crc32	read	3	0	-
cells-hc1-crc32-plain/hc1cp03	plain	Crc32	read	2	0	-
cells-hc1-crc32-saltdiet/hc1cs01	salt-diet	Crc32	read	2	0	-
cells-hc1-crc32-saltdiet/hc1cs02	salt-diet	Crc32	read	2	2	opus=1,sonnet=1
cells-hc1-crc32-saltdiet/hc1cs03	salt-diet	Crc32	read	2	2	sonnet=2
cells-hc1-freelist-placebo/hc1fb01	placebo	FreeList	read	2	0	-
cells-hc1-freelist-placebo/hc1fb02	placebo	FreeList	read	2	0	-
cells-hc1-freelist-placebo/hc1fb03	placebo	FreeList	read	2	0	-
cells-hc1-freelist-plain/hc1fp01	plain	FreeList	read	3	0	-
cells-hc1-freelist-plain/hc1fp02	plain	FreeList	read	3	0	-
cells-hc1-freelist-plain/hc1fp03	plain	FreeList	read	2	0	-
cells-hc1-freelist-saltdiet/hc1fs01	salt-diet	FreeList	read	3	3	opus=1,sonnet=2
cells-hc1-freelist-saltdiet/hc1fs02	salt-diet	FreeList	read	2	0	-
cells-hc1-freelist-saltdiet/hc1fs03	salt-diet	FreeList	read	4	0	-
cells-hc1-lru-placebo/hc1lb01	placebo	LRU	read	2	0	-
cells-hc1-lru-placebo/hc1lb02	placebo	LRU	read	2	0	-
cells-hc1-lru-placebo/hc1lb03	placebo	LRU	read	2	1	sonnet=1
cells-hc1-lru-plain/hc1lp01	plain	LRU	read	3	0	-
cells-hc1-lru-plain/hc1lp02	plain	LRU	read	2	0	-
cells-hc1-lru-plain/hc1lp03	plain	LRU	read	2	0	-
cells-hc1-lru-saltdiet/hc1ls01	salt-diet	LRU	read	1	1	opus=1
cells-hc1-lru-saltdiet/hc1ls02	salt-diet	LRU	read	1	0	-
cells-hc1-lru-saltdiet/hc1ls03	salt-diet	LRU	read	1	1	opus=1
cells-hc1-lzw-placebo/hc1zb01	placebo	LZW	read	2	0	-
cells-hc1-lzw-placebo/hc1zb02	placebo	LZW	read	2	0	-
cells-hc1-lzw-placebo/hc1zb03	placebo	LZW	read	2	0	-
cells-hc1-lzw-plain/hc1zp01	plain	LZW	read	2	0	-
cells-hc1-lzw-plain/hc1zp02	plain	LZW	read	2	0	-
cells-hc1-lzw-plain/hc1zp03	plain	LZW	read	2	0	-
cells-hc1-lzw-saltdiet/hc1zs01	salt-diet	LZW	read	1	0	-
cells-hc1-lzw-saltdiet/hc1zs02	salt-diet	LZW	read	2	0	-
cells-hc1-lzw-saltdiet/hc1zs03	salt-diet	LZW	read	2	0	-
cells-hc1-paxos-placebo/hc1pb01	placebo	Paxos	read	2	0	-
cells-hc1-paxos-placebo/hc1pb02	placebo	Paxos	read	3	2	sonnet=2
cells-hc1-paxos-placebo/hc1pb03	placebo	Paxos	read	2	1	sonnet=1
cells-hc1-paxos-plain/hc1pp01	plain	Paxos	read	2	2	opus=2
cells-hc1-paxos-plain/hc1pp02	plain	Paxos	read	2	0	-
cells-hc1-paxos-plain/hc1pp03	plain	Paxos	read	4	3	opus=2,sonnet=1
cells-hc1-paxos-saltdiet/hc1ps01	salt-diet	Paxos	read	2	0	-
cells-hc1-paxos-saltdiet/hc1ps02	salt-diet	Paxos	read	2	0	-
cells-hc1-paxos-saltdiet/hc1ps03	salt-diet	Paxos	read	3	3	opus=3
# ARM placebo cells=15 no_transcript=0 with_explicit_model=3 asked_opus=0
# ARM plain cells=15 no_transcript=0 with_explicit_model=2 asked_opus=2
# ARM salt-diet cells=15 no_transcript=0 with_explicit_model=6 asked_opus=5
# ASIDE 2 cells-hc1-crc32-plain/hc1cp01.FAILED-BUILD cells-hc1-crc32-plain/hc1cp01.NO-RUN
# TOTAL cells=45 no_transcript=0 with_explicit_model=11 asked_opus=7
