# delta from HC stage 1 export 9f650a3 to the release export bcd2205: git diff --name-status over harness/systems-v3 and tasks/systems-v3
# commits in 9f650a3..bcd2205: 65 · 9f650a3 is an ancestor of bcd2205: yes · bcd2205 differs from 2822925 (ADDENDUM 2 A2.4) in: harness/systems-v3/clb_stage.sh 
# blob-identical at both ends (git rev-parse): harness/systems-v3/rates.tsv yes · harness/systems-v3/cost_caps.tsv yes · harness/systems-v3/models.tsv yes
status	path
A	harness/systems-v3/RECEIPT-l6-fence-package-2026-09-16.md
A	harness/systems-v3/RECEIPT-l6-fence-package-probe-2026-09-16.out
A	harness/systems-v3/RESULT-l5-pdelivery-order-census-2026-09-16.md
M	harness/systems-v3/agy_battery_cell.sh
A	harness/systems-v3/agy_fault_gate_v3.py
A	harness/systems-v3/agy_fence_intact_v3.py
M	harness/systems-v3/agy_launch_v3.sh
A	harness/systems-v3/agy_phase_aside_v3.py
A	harness/systems-v3/agy_shell_count_v3.py
M	harness/systems-v3/agy_turnloop_v3.py
M	harness/systems-v3/agy_wave_v3.sh
A	harness/systems-v3/briefing_token_walk_v3.py
M	harness/systems-v3/briefing_verdict_v3.py
M	harness/systems-v3/brownfield_rewrite_class.py
A	harness/systems-v3/brownfield_tell_audit.py
M	harness/systems-v3/cell-claude.sh
M	harness/systems-v3/cell_build.py
M	harness/systems-v3/cell_copy_v3.py
M	harness/systems-v3/cells_bin.sh
A	harness/systems-v3/clb_fire.sh
A	harness/systems-v3/clb_harvest.py
A	harness/systems-v3/clb_stage.sh
M	harness/systems-v3/customer.sh
M	harness/systems-v3/dry_cells.sh
A	harness/systems-v3/dry_phase2_v3.sh
M	harness/systems-v3/fire_agy_v3.sh
M	harness/systems-v3/fixtures/README.md
A	harness/systems-v3/fixtures/dg2wf01-run_command-records.ndjson
A	harness/systems-v3/gemini-waves/refire-l5-2026-09-15.tsv
A	harness/systems-v3/gemini_canary_wave_v1.sh
M	harness/systems-v3/gemini_drive_v3.sh
A	harness/systems-v3/gemini_lane_remote_v1.sh
A	harness/systems-v3/models-sonnet.tsv
A	harness/systems-v3/pdelivery_order_census_v3.py
A	harness/systems-v3/probe_fence_package_v3.py
M	harness/systems-v3/probe_sandbox_v3.sh
M	harness/systems-v3/referee_v3.py
M	harness/systems-v3/render_srt_config_v3.py
A	harness/systems-v3/score_claude_v3.py
M	harness/systems-v3/score_wave_v3.sh
M	harness/systems-v3/selftest_all_v3.sh
M	harness/systems-v3/selftest_briefing_receipt_v3.sh
A	harness/systems-v3/selftest_score_wave_v3.sh
A	harness/systems-v3/served_models_v3.py
A	tasks/systems-v3/Crc32/brownfield/card-addendum.md
A	tasks/systems-v3/Crc32/brownfield/solution.rs
M	tasks/systems-v3/EXECUTOR-BRIEF-v3.md
M	tasks/systems-v3/FreeList/brownfield/solution.rs
A	tasks/systems-v3/LZW/B/withheld/controls/v1-red-kwkwk/RECEIPT.md
A	tasks/systems-v3/LZW/B/withheld/controls/v1-red-kwkwk/run-2026-09-16/control.out
A	tasks/systems-v3/LZW/B/withheld/controls/v1-red-kwkwk/run-2026-09-16/fixture.out
A	tasks/systems-v3/LZW/B/withheld/controls/v1-red-kwkwk/solution.rs
M	tasks/systems-v3/LZW/brownfield/solution.rs
A	tasks/systems-v3/RECORD-brownfield-givens.md
