# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped	model_served
clbocp01	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.324	0.440	1.72	50	86	22	COVERED	HEAD	5266116	6.6224	COST	37.21	no	claude-opus-5
clbocp02	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.333	0.400	1.40	50	70	20	COVERED	HEAD	6822910	6.7005	COST	37.21	no	claude-opus-5
clbocp03	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.371	0.460	1.48	50	74	23	COVERED	HEAD	9589042	9.0653	COST	37.21	no	claude-opus-5
clbocs01	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPLACED	0.160	0.680	7.52	50	376	34	COVERED	HEAD	7782203	8.4311	COST	37.21	no	claude-opus-5
clbocs02	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPLACED	0.148	0.660	7.90	50	395	33	COVERED	HEAD	7327378	7.6199	COST	37.21	no	claude-opus-5
clbocs03	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.200	0.700	6.00	50	300	35	COVERED	HEAD	6335698	6.5096	COST	37.21	no	claude-opus-5
clbofp01	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.423	0.542	1.56	192	300	104	COVERED	HEAD	25682114	20.9870	COST	37.21	no	claude-opus-5
clbofp02	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.450	0.589	1.61	192	310	113	COVERED	HEAD	13033840	14.7874	COST	37.21	no	claude-opus-5
clbofp03	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.414	0.531	1.57	192	301	102	COVERED	HEAD	20264692	18.6555	COST	37.21	no	claude-opus-5
clbofs01	FreeList	salt-diet	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.089	0.589	12.23	192	2349	113	COVERED	HEAD	41750816	35.3441	COST	37.21	no	claude-opus-5
clbofs02	FreeList	salt-diet	brownfield	none	ENDED: CAP-COST	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.059	0.432	13.71	192	2632	83	COVERED	working tree	41363282	37.5792	COST	37.21	yes	claude-opus-5
clbofs03	FreeList	salt-diet	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.172	0.557	5.48	192	1052	107	COVERED	HEAD	47729585	37.3049	COST	37.21	no	claude-opus-5
clbolp01	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.380	0.716	2.76	102	282	73	COVERED	HEAD	5968346	7.1139	COST	37.21	no	claude-opus-5
clbolp02	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.343	0.686	3.00	102	306	70	COVERED	HEAD	8180485	8.1666	COST	37.21	no	claude-opus-5
clbolp03	LRU	plain	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPAIRED	0.415	0.686	2.30	102	235	70	COVERED	HEAD	7807170	8.3049	COST	37.21	no	claude-opus-5
clbols01	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.109	0.647	10.89	102	1111	66	COVERED	HEAD	21632596	19.0664	COST	37.21	no	claude-opus-5
clbols02	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.155	0.696	7.97	102	813	71	COVERED	HEAD	10151831	9.5249	COST	37.21	no	claude-opus-5
clbols03	LRU	salt-diet	brownfield	none	ENDED: LANDED	PASS	16/16	6 of 6	>=0 (suite-limited)	REPLACED	0.132	0.755	10.42	102	1063	77	COVERED	HEAD	16927118	15.0337	COST	37.21	no	claude-opus-5
clbopp01	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.872	0.958	1.20	377	451	361	COVERED	HEAD	16193790	15.8614	COST	37.21	no	claude-opus-5
clbopp02	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.361	0.305	0.69	377	261	115	COVERED	HEAD	11771721	12.8456	COST	37.21	no	claude-opus-5
clbopp03	Paxos	plain	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.388	0.337	0.73	377	277	127	COVERED	HEAD	8960216	13.1354	COST	37.21	no	claude-opus-5
clbops01	Paxos	salt-diet	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPLACED	0.160	0.493	5.16	377	1945	186	COVERED	HEAD	41471247	32.2214	COST	37.21	no	claude-opus-5
clbops02	Paxos	salt-diet	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPLACED	0.130	0.430	5.63	377	2122	162	COVERED	HEAD	42126869	30.3463	COST	37.21	no	claude-opus-5
clbops03	Paxos	salt-diet	brownfield	none	ENDED: LANDED	PASS	17/17	6 of 6	>=0 (suite-limited)	REPAIRED	0.222	0.687	5.19	377	1956	259	COVERED	HEAD	48704960	36.1362	COST	37.21	no	claude-opus-5
clbozp01	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.307	0.370	1.41	100	141	37	COVERED	HEAD	7003493	10.1071	COST	37.21	no	claude-opus-5
clbozp02	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.263	0.390	1.97	100	197	39	COVERED	HEAD	12863535	12.5415	COST	37.21	no	claude-opus-5
clbozp03	LZW	plain	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPAIRED	0.302	0.390	1.58	100	158	39	COVERED	HEAD	6967376	8.0831	COST	37.21	no	claude-opus-5
clbozs01	LZW	salt-diet	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.103	0.610	10.81	100	1081	61	COVERED	HEAD	15100563	15.9898	COST	37.21	no	claude-opus-5
clbozs02	LZW	salt-diet	brownfield	none	ENDED: LANDED	PASS	8/8	5 of 5	>=0 (suite-limited)	REPLACED	0.041	0.360	16.55	100	1655	36	COVERED	HEAD	24529965	23.2002	COST	37.21	no	claude-opus-5
