# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped	model_served
clbtcp01	Crc32	plain	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.327	0.540	2.30	50	115	27	COVERED	HEAD	10004941	9.6926	COST	37.21	no	claude-opus-5
clbtcs01	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPLACED	0.162	0.540	5.68	50	284	27	COVERED	HEAD	7779504	7.0576	COST	37.21	no	claude-opus-5
clbtcs02	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPLACED	0.160	0.680	7.50	50	375	34	COVERED	HEAD	7250392	7.2653	COST	37.21	no	claude-opus-5
clbtcs03	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPLACED	0.182	0.720	6.90	50	345	36	COVERED	HEAD	6758082	6.5712	COST	37.21	no	claude-opus-5
clbtfp01	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.384	0.516	1.68	192	323	99	COVERED	HEAD	22226064	23.0588	COST	37.21	no	claude-opus-5
clbtfp02	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.574	0.807	1.81	192	348	155	COVERED	HEAD	18887102	19.5729	COST	37.21	no	claude-opus-5
clbtfp03	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.257	0.573	3.46	192	664	110	COVERED	HEAD	15254481	14.9115	COST	37.21	no	claude-opus-5
clbtfs01	FreeList	salt-diet	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.107	0.641	10.97	192	2107	123	COVERED	HEAD	48426494	36.2217	COST	37.21	no	claude-opus-5
clbtfs02	FreeList	salt-diet	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.062	0.464	13.85	192	2659	89	COVERED	HEAD	35880068	29.6196	COST	37.21	no	claude-opus-5
clbtfs03	FreeList	salt-diet	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.125	0.599	8.62	192	1655	115	COVERED	HEAD	35794655	27.8217	COST	37.21	no	claude-opus-5
