# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped	model_served
clbucp01	Crc32	plain	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	1627339	0.9366	COST	37.21	no	claude-sonnet-5
clbucp02	Crc32	plain	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	2055677	1.0121	COST	37.21	no	claude-sonnet-5
clbucp03	Crc32	plain	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	3041997	1.5639	COST	37.21	no	claude-sonnet-5
clbucs01	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.236	0.800	5.78	50	289	40	COVERED	HEAD	10051058	3.9395	COST	37.21	no	claude-sonnet-5
clbucs02	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.236	0.820	5.94	50	297	41	COVERED	HEAD	8063545	3.3458	COST	37.21	no	claude-sonnet-5
clbucs03	Crc32	salt-diet	brownfield	statement	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.275	0.860	5.26	50	263	43	COVERED	HEAD	12317970	4.3831	COST	37.21	no	claude-sonnet-5
clbufp01	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.984	0.984	1.00	192	192	189	COVERED	HEAD	5160232	2.3408	COST	37.21	no	claude-sonnet-5
clbufp02	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.982	0.995	1.03	192	197	191	COVERED	HEAD	5463328	2.9368	COST	37.21	no	claude-sonnet-5
clbufp03	FreeList	plain	brownfield	statement	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.940	0.974	1.07	192	206	187	COVERED	HEAD	4284702	2.2493	COST	37.21	no	claude-sonnet-5
clbufs01	FreeList	salt-diet	brownfield	statement	ENDED: CAP-COST	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.113	0.849	13.96	192	2681	163	COVERED	working tree	142876385	38.5807	COST	37.21	yes	claude-sonnet-5
