# EXCLUDED	clbcfs01	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.5795 of the uniform C1_USD cap 37.21; its own withheld suite was PASS 7/7
# EXCLUDED	clbcfs02	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.4995 of the uniform C1_USD cap 37.21; its own withheld suite was FAIL 3/7
# EXCLUDED	clbcfs03	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.2789 of the uniform C1_USD cap 37.21; its own withheld suite was FAIL 6/7
# EXCLUDED	clbcps01	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.6169 of the uniform C1_USD cap 37.21; its own withheld suite was PASS 17/17
# EXCLUDED	clbcps02	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.4009 of the uniform C1_USD cap 37.21; its own withheld suite was PASS 17/17
# EXCLUDED	clbcps03	REACH loss, not a phase-2 result — phase 1 ended CAP-COST at 37.3077 of the uniform C1_USD cap 37.21; its own withheld suite was PASS 17/17
# final_T / final_COST INCLUDE THE HARNESS'S OWN SANDBOX PROBE	the per-cell meter sums every session under the cell's slug, and a sandbox probe runs under that same slug before each launch; clb_harvest.split_slug separates them, cell_meter does not, and these columns come from cell_meter	MEASURED 2026-09-22 over 180 cells with those two tools and no reimplementation (desk VX): the probe is 0.25%-18.52% of final_COST (median 2.58% in the Sonnet blocks, 1.27% in the Opus blocks) and a median 3.2x SMALLER share of final_T, so checking this in tokens understates it threefold. Its ABSOLUTE cost is near-constant ($0.065-$0.287), so any ratio taken BETWEEN ARMS carries it: plain:salt-diet COST was inflated in 22 of 22 matched block/problem groups, median +5.2%, max +13.0%, understating salt-diet's cost disadvantage. AN ABSOLUTE FIGURE IN THESE COLUMNS IS THE TASK PLUS THE PROBE.
cell	problem	arm	field	extras	model_served	p1_run_state	p1_suite	p1_tests	p1_w1_fenced	p1_T	p1_COST	p1_cap_unit	p1_cap	p1_capped	p2_run_state	p2_suite	p2_tests	p2_regressions	p2_clause_tests	p2_V1	p2_V2	p2_T	p2_COST	p2_cap_unit	p2_cap	p2_capped	cell_T_at_end2	cell_COST_at_end2
clbccp01	Crc32	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	1662761	0.78	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	3854838	1.71	COST	18.60	no	5699702	2.6766
clbccp02	Crc32	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	2015210	1.09	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	1971587	0.94	COST	18.60	no	4131216	2.1706
clbccp03	Crc32	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	2317015	1.03	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	1669023	0.83	COST	18.60	no	4158715	1.9992
clbccs01	Crc32	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	23502486	7.22	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	8790010	3.73	COST	18.60	no	32454074	11.1224
clbccs02	Crc32	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	17785782	5.76	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	8605767	3.39	COST	18.60	no	26557598	9.3446
clbccs03	Crc32	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	6/6	-	9630869	3.50	COST	37.21	no	ENDED	PASS	10/10	0/6	0/4	GREEN	GREEN	10443015	4.07	COST	18.60	no	20204549	7.7512
clbcfp01	FreeList	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	FAIL	6/7	-	4129604	2.52	COST	37.21	no	ENDED	FAIL	8/9	1/7	0/2	RED	GREEN	4209910	2.26	COST	18.60	no	8456320	4.9200
clbcfp02	FreeList	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	FAIL	6/7	-	7205810	3.69	COST	37.21	no	ENDED	FAIL	8/9	1/7	0/2	RED	GREEN	5622017	2.97	COST	18.60	no	12939783	6.8254
clbcfp03	FreeList	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	7/7	-	10354400	5.19	COST	37.21	no	ENDED	PASS	9/9	0/7	0/2	GREEN	GREEN	3968883	1.74	COST	18.60	no	14469479	7.2164
clbclp01	LRU	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	2271920	1.23	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	2120082	1.07	COST	18.60	no	4505637	2.4805
clbclp02	LRU	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	1525617	0.71	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	1785445	0.79	COST	18.60	no	3485984	1.6579
clbclp03	LRU	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	1397336	0.68	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	1732698	0.85	COST	18.60	no	1791691	0.9329
clbcls01	LRU	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	23086119	7.33	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	8475379	2.96	COST	18.60	no	31692783	10.5232
clbcls02	LRU	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	12397981	4.40	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	6071891	2.36	COST	18.60	no	6169349	2.4609
clbcls03	LRU	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	16/16	-	40275404	11.63	COST	37.21	no	ENDED	PASS	23/23	0/16	0/7	GREEN	GREEN	7398904	2.81	COST	18.60	no	47840133	14.7180
clbcpp01	Paxos	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	17/17	-	9158880	5.01	COST	37.21	no	ENDED	PASS	24/24	0/16	0/8	GREEN	GREEN	9930090	4.91	COST	18.60	no	19206890	10.0679
clbcpp02	Paxos	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	17/17	-	6774555	3.61	COST	37.21	no	ENDED	PASS	24/24	0/16	0/8	GREEN	GREEN	6267170	3.52	COST	18.60	no	13191376	7.3051
clbcpp03	Paxos	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	17/17	-	5443149	3.24	COST	37.21	no	ENDED	FAIL	23/24	0/16	1/8	GREEN	RED	19967915	8.30	COST	18.60	no	25554382	11.6891
clbczp01	LZW	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	3954141	2.14	COST	37.21	no	ENDED	PASS	15/15	0/8	0/7	GREEN	GREEN	6520269	3.14	COST	18.60	no	10620055	5.4306
clbczp02	LZW	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	3037772	1.96	COST	37.21	no	ENDED	PASS	15/15	0/8	0/7	GREEN	GREEN	5978332	3.07	COST	18.60	no	9135429	5.1938
clbczp03	LZW	plain	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	2602450	1.41	COST	37.21	no	ENDED	PASS	15/15	0/8	0/7	GREEN	GREEN	5111903	2.67	COST	18.60	no	7832864	4.2397
clbczs01	LZW	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	78606023	23.71	COST	37.21	no	ENDED	BUILD-FAIL	0/0	ABSENT	ABSENT	UNMEASURED	UNMEASURED	500716	0.32	COST	18.60	yes	79269505	24.2912
clbczs02	LZW	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	61368445	21.53	COST	37.21	no	ENDED	BUILD-FAIL	0/0	ABSENT	ABSENT	UNMEASURED	UNMEASURED	278088	0.20	COST	18.60	yes	61811264	22.0034
clbczs03	LZW	salt-diet	greenfield	none	claude-sonnet-5	ENDED: LANDED	PASS	8/8	-	53909518	16.31	COST	37.21	no	ENDED	PASS	15/15	0/8	0/7	GREEN	GREEN	4759863	2.02	COST	18.60	yes	58836688	18.6136
