model	problem	arm	attempt	leg	leg_cond	leg_attempt	root	fired	ended	outcome	detail
gemini-3.1-pro-high	Paxos	plain	1	Paxos-pro-rr	1	1	cells-l8-paxos-pro-plain-sc-rerun	2026-09-24T17:56:49Z	2026-09-24T19:25:15Z	CONDITION-CLEAN	l8xppr01:LANDED:a503=0 l8xppr02:LANDED:a503=0 l8xppr03:LANDED:a503=0
gemini-3.1-pro-high	FreeList	plain	1	FreeList-pro-rr	1	1	cells-l8-freelist-pro-plain-sc-rerun	2026-09-24T18:02:38Z	2026-09-24T19:29:03Z	CONDITION-CLEAN	l8fppr01:LANDED:a503=0 l8fppr02:LANDED:a503=0 l8fppr03:LANDED:a503=0
gemini-3.1-pro-high	LZW	plain	1	LZW-pro-rr	1	1	cells-l8-lzw-pro-plain-sc-rerun	2026-09-24T18:03:43Z	2026-09-24T19:26:06Z	CONDITION-CLEAN	l8zppr01:LANDED:a503=0 l8zppr02:LANDED:a503=0 l8zppr03:LANDED:a503=0
gemini-3.1-pro-high	Paxos	salt-diet	1	Paxos-pro-rr	2	1	cells-l8-paxos-pro-salt-sc-rerun	2026-09-24T19:25:15Z	2026-09-24T23:11:17Z	CONDITION-CLEAN	l8xpsr01:LANDED:a503=0 l8xpsr02:LANDED:a503=0 l8xpsr03:LANDED:a503=0
gemini-3.1-pro-high	LZW	salt-diet	1	LZW-pro-rr	2	1	cells-l8-lzw-pro-salt-sc-rerun	2026-09-24T19:26:07Z	2026-09-24T23:44:16Z	CONDITION-CLEAN	l8zpsr01:LANDED:a503=0 l8zpsr02:LANDED:a503=0 l8zpsr03:LANDED:a503=0
gemini-3.1-pro-high	FreeList	salt-diet	1	FreeList-pro-rr	2	1	cells-l8-freelist-pro-salt-sc-rerun	2026-09-24T19:29:04Z	2026-09-24T23:34:13Z	CONDITION-CLEAN	l8fpsr01:LANDED:a503=0 l8fpsr02:PERSIST-INDETERMINATE:a503=0 l8fpsr03:LANDED:a503=0
gemini-3.8-flash-high	Paxos	plain	1	Paxos-flash-rr	1	1	cells-l8-paxos-flash-plain-sc-rerun	2026-09-24T23:15:25Z	2026-09-25T00:19:45Z	STOP:STOPPED-KILL-FAILED	STOPPED-KILL-FAILED condition 1 attempt 1: KILL REFUSE wave-count=3 pids=30751 72911 78839 — two hands on one lane; not choosing
gemini-3.8-flash-high	Paxos	plain	2	Paxos-flash-rr2	1	1	cells-l8-paxos-flash-plain-sc-rerun2	2026-09-25T00:41:38Z	2026-09-25T01:30:03Z	DISCARDED	DISCARD OK ~/cells-l8-paxos-flash-plain-sc-rerun2.DISCARDED-503-2026-09-25T01:29:49Z
gemini-3.8-flash-high	Paxos	plain	3	Paxos-flash-rr2	1	2	cells-l8-paxos-flash-plain-sc-rerun2-a2	2026-09-25T02:20:07Z	2026-09-25T03:44:31Z	CONDITION-CLEAN	l8xfp2a201:LANDED:a503=0 l8xfp2a202:LANDED:a503=0 l8xfp2a203:LANDED:a503=0
gemini-3.8-flash-high	FreeList	plain	1	FreeList-flash-rr	1	1	cells-l8-freelist-flash-plain-sc-rerun	2026-09-24T23:45:24Z	2026-09-25T01:16:47Z	CONDITION-CLEAN	l8ffpr01:LANDED:a503=0 l8ffpr02:LANDED:a503=0 l8ffpr03:LANDED:a503=0
gemini-3.8-flash-high	LZW	plain	1	LZW-flash-rr	1	1	cells-l8-lzw-flash-plain-sc-rerun	2026-09-24T23:49:30Z	2026-09-25T01:29:12Z	DISCARDED	DISCARD OK ~/cells-l8-lzw-flash-plain-sc-rerun.DISCARDED-503-2026-09-25T01:28:54Z
gemini-3.8-flash-high	LZW	plain	2	LZW-flash-rr	1	2	cells-l8-lzw-flash-plain-sc-rerun-a2	2026-09-25T02:19:16Z	2026-09-25T03:39:38Z	CONDITION-CLEAN	l8zfpra201:LANDED:a503=0 l8zfpra202:LANDED:a503=0 l8zfpra203:LANDED:a503=0
gemini-3.8-flash-high	FreeList	salt-diet	1	FreeList-flash-rr	2	1	cells-l8-freelist-flash-salt-sc-rerun	2026-09-25T01:16:48Z	2026-09-25T01:30:04Z	DISCARDED	DISCARD OK ~/cells-l8-freelist-flash-salt-sc-rerun.DISCARDED-503-2026-09-25T01:29:51Z
gemini-3.8-flash-high	FreeList	salt-diet	2	FreeList-flash-rr	2	2	cells-l8-freelist-flash-salt-sc-rerun-a2	2026-09-25T02:20:09Z	2026-09-25T05:17:59Z	CONDITION-CLEAN	l8ffsra201:LANDED:a503=0 l8ffsra202:LANDED:a503=0 l8ffsra203:LANDED:a503=0
gemini-3.8-flash-high	LZW	salt-diet	1	LZW-flash-rr	2	1	cells-l8-lzw-flash-salt-sc-rerun	2026-09-25T03:39:39Z	2026-09-25T07:11:34Z	CONDITION-CLEAN	l8zfsr01:LANDED:a503=0 l8zfsr02:LANDED:a503=0 l8zfsr03:LANDED:a503=0
gemini-3.8-flash-high	Paxos	salt-diet	1	Paxos-flash-rr2	2	1	cells-l8-paxos-flash-salt-sc-rerun2	2026-09-25T03:44:31Z	2026-09-25T12:24:02Z	CONDITION-CLEAN	l8xfs201:LANDED:a503=0 l8xfs202:LANDED:a503=0 l8xfs203:LANDED:a503=0
