20:13:58Z ARMED (studio) tok_cap=180000000 wall_cap=43200s baseline landings=30 done=1
20:13:58Z beat landings=+0 metered=5982892 wall=0s procs=1 inflight=46218B@1788207236 done=+0 halt=0
20:14:58Z beat landings=+0 metered=5982892 wall=60s procs=1 inflight=74994B@1788207297 done=+0 halt=0
20:15:58Z beat landings=+0 metered=5982892 wall=120s procs=1 inflight=120253B@1788207353 done=+0 halt=0
20:16:58Z beat landings=+0 metered=5982892 wall=180s procs=2 inflight=146881B@1788207417 done=+0 halt=0
20:17:58Z beat landings=+0 metered=5982892 wall=240s procs=2 inflight=166032B@1788207474 done=+0 halt=0
20:18:59Z beat landings=+0 metered=5982892 wall=301s procs=1 inflight=182118B@1788207532 done=+0 halt=0
20:19:59Z beat landings=+0 metered=5982892 wall=361s procs=1 inflight=207934B@1788207593 done=+0 halt=0
20:20:59Z beat landings=+1 metered=6815363 wall=421s procs=1 inflight=17406B@1788207654 done=+0 halt=0
20:21:59Z beat landings=+1 metered=6815363 wall=481s procs=2 inflight=52119B@1788207719 done=+0 halt=0
20:22:59Z beat landings=+1 metered=6815363 wall=541s procs=2 inflight=72603B@1788207774 done=+0 halt=0
20:23:59Z beat landings=+1 metered=6815363 wall=601s procs=1 inflight=102206B@1788207837 done=+0 halt=0
20:24:59Z beat landings=+1 metered=6815363 wall=661s procs=1 inflight=122458B@1788207895 done=+0 halt=0
20:25:59Z beat landings=+1 metered=6815363 wall=721s procs=1 inflight=154644B@1788207957 done=+0 halt=0
20:26:59Z beat landings=+1 metered=6815363 wall=781s procs=1 inflight=178731B@1788208015 done=+0 halt=0
20:27:59Z beat landings=+1 metered=6815363 wall=841s procs=1 inflight=205515B@1788208075 done=+0 halt=0
20:28:59Z beat landings=+2 metered=7480054 wall=901s procs=1 inflight=15160B@1788208127 done=+0 halt=0
20:30:00Z beat landings=+2 metered=7480054 wall=962s procs=1 inflight=47021B@1788208198 done=+0 halt=0
20:31:00Z beat landings=+2 metered=7480054 wall=1022s procs=2 inflight=68070B@1788208252 done=+0 halt=0
20:32:00Z beat landings=+2 metered=7480054 wall=1082s procs=1 inflight=93401B@1788208310 done=+0 halt=0
20:33:00Z beat landings=+2 metered=7480054 wall=1142s procs=1 inflight=106919B@1788208351 done=+0 halt=0
20:34:00Z beat landings=+2 metered=7480054 wall=1202s procs=1 inflight=136024B@1788208424 done=+0 halt=0
20:35:00Z beat landings=+2 metered=7480054 wall=1262s procs=2 inflight=162291B@1788208498 done=+0 halt=0
20:36:00Z beat landings=+2 metered=7480054 wall=1322s procs=0 inflight=176758B@1788208540 done=+0 halt=0
20:37:00Z beat landings=+3 metered=7999069 wall=1382s procs=1 inflight=34673B@1788208608 done=+0 halt=0
20:38:00Z beat landings=+3 metered=7999069 wall=1442s procs=1 inflight=97455B@1788208673 done=+0 halt=0
20:39:00Z beat landings=+3 metered=7999069 wall=1502s procs=1 inflight=111221B@1788208714 done=+0 halt=0
20:40:01Z beat landings=+3 metered=7999069 wall=1563s procs=2 inflight=138032B@1788208798 done=+0 halt=0
20:41:01Z beat landings=+4 metered=8264355 wall=1623s procs=0 inflight=0B@0 done=+0 halt=0
20:42:01Z beat landings=+4 metered=8264355 wall=1683s procs=1 inflight=69809B@1788208914 done=+0 halt=0
20:43:01Z beat landings=+4 metered=8264355 wall=1743s procs=2 inflight=130910B@1788208978 done=+0 halt=0
20:44:01Z beat landings=+4 metered=8264355 wall=1803s procs=1 inflight=152296B@1788209041 done=+0 halt=0
20:45:01Z beat landings=+4 metered=8264355 wall=1863s procs=2 inflight=175671B@1788209097 done=+0 halt=0
20:46:01Z beat landings=+4 metered=8264355 wall=1923s procs=1 inflight=197751B@1788209161 done=+0 halt=0
20:47:01Z beat landings=+4 metered=8264355 wall=1983s procs=1 inflight=221754B@1788209219 done=+0 halt=0
20:48:01Z beat landings=+4 metered=8264355 wall=2043s procs=0 inflight=253303B@1788209280 done=+0 halt=0
20:49:01Z beat landings=+5 metered=9231393 wall=2103s procs=1 inflight=17046B@1788209325 done=+0 halt=0
20:50:01Z beat landings=+5 metered=9231393 wall=2163s procs=1 inflight=120111B@1788209381 done=+0 halt=0
20:51:02Z beat landings=+5 metered=9231393 wall=2224s procs=1 inflight=146534B@1788209451 done=+0 halt=0
20:52:02Z beat landings=+5 metered=9231393 wall=2284s procs=1 inflight=152942B@1788209471 done=+0 halt=0
20:53:02Z beat landings=+5 metered=9231393 wall=2344s procs=1 inflight=152942B@1788209471 done=+0 halt=0
20:54:02Z beat landings=+5 metered=9231393 wall=2404s procs=2 inflight=201727B@1788209640 done=+0 halt=0
20:55:02Z beat landings=+5 metered=9231393 wall=2464s procs=1 inflight=219207B@1788209701 done=+0 halt=0
