kind	slug	cells_root	cell_T	cell_COST	probe_T	probe_COST
ROW	clbbcp01	cells-clb-sb-crc32-plain	1779344	0.822360	85319	0.079045
ROW	clbbcp02	cells-clb-sb-crc32-plain	1046881	0.451076	89851	0.100178
ROW	clbbcp03	cells-clb-sb-crc32-plain	1758220	0.828276	86479	0.084109
ROW	clbbcs01	cells-clb-sb-crc32-saltdiet	10473196	3.996087	100252	0.117261
ROW	clbbcs02	cells-clb-sb-crc32-saltdiet	17205802	5.660218	94441	0.089015
ROW	clbbcs03	cells-clb-sb-crc32-saltdiet	8982405	3.467033	129240	0.110949
ROW	clbbfp01	cells-clb-sb-freelist-plain	9425624	4.678726	84557	0.074992
ROW	clbbfp02	cells-clb-sb-freelist-plain	2574734	1.451407	85028	0.133725
ROW	clbbfp03	cells-clb-sb-freelist-plain	5232942	2.283162	56857	0.129313
ROW	clbbfs01	cells-clb-sb-freelist-saltdiet	138957771	37.753602	95945	0.096502
ROW	clbbfs02	cells-clb-sb-freelist-saltdiet	96593393	28.837119	62155	0.078088
ROW	clbbfs03	cells-clb-sb-freelist-saltdiet	129160724	37.278689	64544	0.151329
ROW	clbblp01	cells-clb-sb-lru-plain	1944528	0.844066	85853	0.080527
ROW	clbblp02	cells-clb-sb-lru-plain	1871343	0.845863	89614	0.098448
ROW	clbblp03	cells-clb-sb-lru-plain	2203471	0.958208	55884	0.066344
ROW	clbbls01	cells-clb-sb-lru-saltdiet	16954236	6.378878	67677	0.117194
ROW	clbbls02	cells-clb-sb-lru-saltdiet	23417049	7.638501	97621	0.104152
ROW	clbbls03	cells-clb-sb-lru-saltdiet	28903191	8.950268	65662	0.102420
ROW	clbbpp01	cells-clb-sb-paxos-plain	6067216	2.975886	84609	0.074316
ROW	clbbpp02	cells-clb-sb-paxos-plain	5822596	3.325031	85350	0.135062
ROW	clbbpp03	cells-clb-sb-paxos-plain	6589888	2.795928	84753	0.075795
ROW	clbbps01	cells-clb-sb-paxos-saltdiet	94684984	28.203879	99013	0.110395
ROW	clbbps02	cells-clb-sb-paxos-saltdiet	154873216	37.800876	96884	0.156744
ROW	clbbps03	cells-clb-sb-paxos-saltdiet	154731418	37.769940	64206	0.148555
ROW	clbbzp01	cells-clb-sb-lzw-plain	3025990	1.418998	89453	0.097237
ROW	clbbzp02	cells-clb-sb-lzw-plain	3929610	2.019085	60294	0.153522
ROW	clbbzp03	cells-clb-sb-lzw-plain	1574421	0.873457	86148	0.139158
ROW	clbbzs01	cells-clb-sb-lzw-saltdiet	59225721	19.195012	96905	0.100644
ROW	clbbzs02	cells-clb-sb-lzw-saltdiet	64743725	20.431711	66014	0.104549
ROW	clbbzs03	cells-clb-sb-lzw-saltdiet	41961990	14.027418	65496	0.157500
ROW	clbcfp01	cells-clb-sc-freelist-plain	8339514	4.772721	116806	0.147324
ROW	clbcfp02	cells-clb-sc-freelist-plain	12827827	6.656270	111956	0.169117
ROW	clbcfp03	cells-clb-sc-freelist-plain	14323283	6.929515	146196	0.286915
ROW	clbcfs01	cells-clb-sc-freelist-saltdiet	129793504	37.591096	97295	0.103151
ROW	clbcfs02	cells-clb-sc-freelist-saltdiet	127173630	37.402795	64778	0.096719
