root	cell	arm	acct	status	models	records	input	cache_write_5m	cache_write_1h	cache_read	output	T	cost
cells-matrix1	011fe22f	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	120	240	51730	163143	12943379	139437	13297929	11.188329799999996
cells-matrix1	11165871	salt-diet	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	80	160	32161	133923	5848336	89361	6103941	6.194189599999999
cells-matrix1	161b5a34	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	212	424	88283	396360	50559467	358321	51402855	37.94884139999999
cells-matrix1	188f422b	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	122	244	231346	154156	11272155	256678	11914579	13.0171976
cells-matrix1	18fb3eed	salt-diet	dbfc67e4	OK	claude-opus-5	238	476	122065	306765	42208588	270412	42908306	31.69753024999999
cells-matrix1	22ee7d33	plain	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	115	230	155687	146962	9537259	163226	10003364	10.24462115
cells-matrix1	2d0c65b3	plain	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	81	162	88494	87114	3972580	90245	4238595	5.358154900000001
cells-matrix1	3bdcbcbd	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	114	228	128601	110692	6762072	128059	7129652	7.7499179
cells-matrix1	3e95075c	salt-diet	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	86	172	36930	146923	7110199	103186	7397410	7.211073900000002
cells-matrix1	57a33630	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	89	178	44024	156819	7492330	107238	7800589	7.6284383999999985
cells-matrix1	59c93bbe	plain	UNRESOLVED	NO-TRANSCRIPT	-	-	-	-	-	-	-	-	-
cells-matrix1	60a056e6	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	104	208	191911	137075	8139632	143465	8612291	9.494318000000002
cells-matrix1	69e8c2c4	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	120	240	165537	126278	7703842	159767	8155664	9.730732500000002
cells-matrix1	6d58f1ec	salt-diet	dbfc67e4	OK	claude-opus-5	163	326	119600	275795	25724583	246489	26366793	22.53159649999999
cells-matrix1	6fc49f7c	salt-diet	dbfc67e4	FLOOR	claude-opus-5	227	454	120714	375564	51361546	309483	52167761	37.930220500000004
cells-matrix1	746d7d4e	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	100	200	81729	91360	5852084	88076	6113449	6.214880000000001
cells-matrix1	7ac56e4e	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	129	258	83480	268990	21481371	229442	22063541	19.177816399999998
cells-matrix1	7fa6c322	salt-diet	UNRESOLVED	NO-TRANSCRIPT	-	-	-	-	-	-	-	-	-
cells-matrix1	823de693	salt-diet	UNRESOLVED	NO-TRANSCRIPT	-	-	-	-	-	-	-	-	-
cells-matrix1	879326db	salt-diet	UNRESOLVED	NO-TRANSCRIPT	-	-	-	-	-	-	-	-	-
cells-matrix1	922d1ff0	plain	dbfc67e4	OK	claude-opus-5	99	198	159638	133465	7838929	205473	8337703	11.389667
cells-matrix1	93323249	plain	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	106	212	124675	118169	7170616	135270	7548942	8.152814700000002
cells-matrix1	9aca67c5	salt-diet	dbfc67e4	FLOOR	claude-opus-5	135	270	88667	213621	15670836	192703	16166097	15.344721749999998
cells-matrix1	9cb8ce96	plain	dbfc67e4	OK	claude-opus-5	220	440	238214	202965	25119626	291975	25853220	23.379875499999997
cells-matrix1	9e6c8d4d	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	234	468	204209	381476	48793793	345892	49725838	37.64788035000001
cells-matrix1	a87b7740	plain	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	110	220	127393	113710	6786780	105889	7133992	7.635044449999998
cells-matrix1	b22d1000	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	156	312	190744	296262	28658588	297463	29443369	23.516636099999996
cells-matrix1	b71994e3	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	86	172	48868	208856	10567187	165972	10991055	11.206316400000002
cells-matrix1	c34012e0	plain	dbfc67e4	FLOOR	claude-opus-5	293	586	170108	167097	26071087	207148	26616026	20.951318499999992
cells-matrix1	d6b53ee4	salt-diet	dbfc67e4	OK	claude-opus-5+claude-sonnet-5	139	278	62832	210668	17959279	162750	18395807	14.632604600000008
cells-matrix1	d91f137b	plain	dbfc67e4	OK	claude-opus-5	145	290	213785	148293	10859293	227947	11449608	13.94885775
cells-matrix1	de4de8f2	salt-diet	dbfc67e4	OK	claude-opus-5	200	400	121813	423396	45165245	400633	46111487	37.59573875000003
cells-matrix1	eb558398	salt-diet	dbfc67e4	OK	claude-opus-5	129	258	38704	255365	20431794	205932	20932053	18.161037
cells-matrix1	f33c7e65	salt-diet	dbfc67e4	OK	claude-opus-5	212	424	86142	354442	45457301	344020	46242329	35.414077999999996
cells-matrix1	f5f66c47	salt-diet	dbfc67e4	OK	claude-opus-5	171	342	95593	233273	20882693	206592	21418493	18.53804275
cells-matrix1	f6462d47	plain	dbfc67e4	FLOOR	claude-opus-5+claude-sonnet-5	150	300	235225	215050	16966371	267652	17684598	16.78305569999999
