# BROWNFIELD-SEED-BASELINE.tsv — §B3's BASELINE, the deliverable row 4 names.
# The withheld suite run against the SEED, per problem, BEFORE any cell. Taken from the run's own
# output, not retyped. bugs_fixed = a RED-at-baseline test going GREEN at end (this is V1).
# bugs_introduced = any test GREEN HERE going RED at end.
# ⛔ WITHOUT THIS FILE `bugs_introduced` silently becomes "tests failing at end", which counts the
#   PLANTED DEFECT ITSELF as introduced.
# ⛔ AND `bugs_introduced = 0` IS A FLOOR, NEVER A ZERO: these suites score 1.000 against mutants
#   authored beside them, with seven dying by a SINGLE test. Report `>= 0 (suite-limited)` with the margin.
#
problem	test	baseline	seed_sha256
LZW	round_trip_known	RED	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	all_byte_values	RED	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	kwkwk_trigger	RED	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	random_inputs	RED	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	repetitive_inputs	RED	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	code_bound	GREEN	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	stateless_repeat	GREEN	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
LZW	max_chunk	GREEN	aa968d046528530b9bd32ec55c879b5f1f947e535292163301a5301b405b2337
Paxos	init_nothing_chosen	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	own_value_proposal_is_proposed	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	plain_run_chooses_0	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	plain_run_chooses_1	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	minority_not_chosen — is_chosen(0) = true, expected false	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	duplicate_accept_before_choice — is_chosen(0) = true, expected false	RED	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	duplicate_accept_after_choice	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
Paxos	higher_ballot_adopts_earlier_vote	GREEN	1ce92803be426d3213238274c29e92e53a62d792b431c93356d1e9c7fa1f871d
