cell	problem	arm	field	extras	run_state	suite	tests	V1_bugs_fixed	bugs_introduced	class	retained	surv	growth	seed_lines	end_lines	kept	w1_fenced	end_from	final_T	final_COST	cap_unit	cap	capped
clbbcp01	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	1864663	0.9014	COST	37.21	no
clbbcp02	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	1136732	0.5513	COST	37.21	no
clbbcp03	Crc32	plain	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	0.980	1.00	50	50	49	COVERED	HEAD	1844699	0.9124	COST	37.21	no
clbbcs01	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.317	0.840	4.30	50	215	42	COVERED	HEAD	10573448	4.1133	COST	37.21	no
clbbcs02	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.248	0.840	5.78	50	289	42	COVERED	HEAD	17300243	5.7492	COST	37.21	no
clbbcs03	Crc32	salt-diet	brownfield	none	ENDED: LANDED	PASS	6/6	5 of 5	>=0 (suite-limited)	REPAIRED	0.340	0.860	4.06	50	203	43	COVERED	HEAD	9111645	3.5780	COST	37.21	no
clbbfp01	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.823	0.896	1.18	192	226	172	COVERED	HEAD	9510181	4.7537	COST	37.21	no
clbbfp02	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.909	0.938	1.06	192	204	180	COVERED	HEAD	2659762	1.5851	COST	37.21	no
clbbfp03	FreeList	plain	brownfield	none	ENDED: LANDED	PASS	7/7	1 of 1	>=0 (suite-limited)	REPAIRED	0.869	0.917	1.11	192	213	176	COVERED	HEAD	5289799	2.4125	COST	37.21	no
clbbfs01	FreeList	salt-diet	brownfield	none	ENDED: CAP-COST	PASS	7/7	1 of 1	>=0 (suite-limited)	REPLACED	0.139	0.573	7.27	192	1395	110	COVERED	working tree	139053716	37.8501	COST	37.21	YES
