id	leg	cond	served	problem	arm	m3record	dispatchedP1	foldbus	payloadsha	p1_end	p2_end	p1_turns	p2_turns	p2_wall_s	p2_false_done	p2_caps	score_status	verdict	TESTS	REGRESSIONS	CLAUSE_TESTS	declared_after_P1	score_receipt	adds_src
l8cfps01	Crc32-flash	Crc32-plain	gemini-3.8-flash-high	Crc32	plain	l8cfps01 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T11:58:16Z LANDED landing-1 1c4e7afdb1c5	2026-09-24T12:08:49Z LANDED landing-2 b311cfe3a1e0 declared-after-P1=yes	3	4	617.1	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cfps02	Crc32-flash	Crc32-plain	gemini-3.8-flash-high	Crc32	plain	l8cfps02 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T12:19:01Z LANDED landing-1 b8f416f5956c	2026-09-24T12:51:34Z LANDED landing-2 d25f1b9ead46 declared-after-P1=yes	3	4	315.5	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cfps03	Crc32-flash	Crc32-plain	gemini-3.8-flash-high	Crc32	plain	l8cfps03 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T12:56:58Z LANDED landing-1 05ebd2efc021	2026-09-24T13:01:37Z LANDED landing-2 655981dd6886 declared-after-P1=yes	4	4	262.7	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cfss01	Crc32-flash	Crc32-salt-diet	gemini-3.8-flash-high	Crc32	salt-diet	l8cfss01 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T13:15:36Z LANDED landing-1 7ae8c079715b	2026-09-24T13:49:22Z LANDED landing-2 ca5396eebd00 declared-after-P1=yes	4	4	423.1	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cfss02	Crc32-flash	Crc32-salt-diet	gemini-3.8-flash-high	Crc32	salt-diet	l8cfss02 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T14:00:03Z LANDED landing-1 229d3e41d06e	2026-09-24T14:12:03Z LANDED landing-2 7c88f6873763 declared-after-P1=yes	4	4	704.0	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cfss03	Crc32-flash	Crc32-salt-diet	gemini-3.8-flash-high	Crc32	salt-diet	l8cfss03 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T14:55:53Z LANDED landing-1 0c1430a7dce3	2026-09-24T15:05:17Z LANDED landing-2 91bace0768e2 declared-after-P1=yes	4	4	548.0	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-flash-2026-09-23-score/cells-l8-crc32-flash-salt-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-flash/l8-cells.tsv
l8cpps01	Crc32-pro	Crc32-plain	gemini-3.1-pro-high	Crc32	plain	l8cpps01 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T07:16:24Z LANDED landing-1 a47c3c712f06	2026-09-24T07:20:09Z LANDED landing-2 e5333b7b0da9 declared-after-P1=yes	3	3	209.6	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-pro-2026-09-23-score/cells-l8-crc32-pro-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
l8cpps02	Crc32-pro	Crc32-plain	gemini-3.1-pro-high	Crc32	plain	l8cpps02 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T07:57:26Z LANDED landing-1 b5d0d6142d0c	2026-09-24T08:01:16Z LANDED landing-2 44241a79dcc8 declared-after-P1=yes	3	3	214.8	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-pro-2026-09-23-score/cells-l8-crc32-pro-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
l8cpps03	Crc32-pro	Crc32-plain	gemini-3.1-pro-high	Crc32	plain	l8cpps03 PASS shell-ok+fence-ok	1	0	6db96d0778e8cb19	2026-09-24T08:03:58Z LANDED landing-1 d1c8819c7ea5	2026-09-24T08:08:01Z LANDED landing-2 5ec90568836f declared-after-P1=yes	3	3	227.7	0	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	10/10	0/6	0/4	declared-after-P1=yes	l8u-Crc32-pro-2026-09-23-score/cells-l8-crc32-pro-plain-sc.p2.score.txt	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
l8cpss01	Crc32-pro	Crc32-salt-diet	gemini-3.1-pro-high	Crc32	salt-diet	UNREAD	UNREAD	UNREAD	UNREAD	2026-09-24T09:12:47Z PERSIST-INDETERMINATE phase-1 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	UNREAD	4	UNREAD	?	?	max_turns:40,max_wall:21600,print_timeout:1800s,turn_timeout:2100	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	UNREAD	l8u-2026-09-23/harvest-Crc32-pro/l8-cells.tsv
