id	leg	cond	served	problem	arm	m3record	dispatchedP1	foldbus	payloadsha	p1_end	p2_end	p1_turns	p2_turns	p2_wall_s	p2_false_done	p2_caps	score_status	verdict	TESTS	REGRESSIONS	CLAUSE_TESTS	declared_after_P1	score_receipt	adds_src
l8xppr01	Paxos-pro-rr	Paxos-plain	gemini-3.1-pro-high	Paxos	plain	l8xppr01 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T18:28:42Z LANDED landing-1 e7da0cf515d5	2026-09-24T18:33:25Z LANDED landing-2 ccf811bc3f13 declared-after-P1=yes	3	3	266.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8xppr02	Paxos-pro-rr	Paxos-plain	gemini-3.1-pro-high	Paxos	plain	l8xppr02 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T18:37:47Z LANDED landing-1 fced13ec942d	2026-09-24T18:42:54Z LANDED landing-2 bbe0b09e29a9 declared-after-P1=yes	3	3	289.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8xppr03	Paxos-pro-rr	Paxos-plain	gemini-3.1-pro-high	Paxos	plain	l8xppr03 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T18:49:07Z LANDED landing-1 5e1a6af02f44	2026-09-24T19:24:39Z LANDED landing-2 d8abee2a2109 declared-after-P1=yes	3	3	285.4	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8xpsr01	Paxos-pro-rr	Paxos-salt-diet	gemini-3.1-pro-high	Paxos	salt-diet	l8xpsr01 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T19:33:41Z LANDED landing-1 8636fe76f89f	2026-09-24T20:17:05Z PERSIST-INDETERMINATE phase-2 the subject gave NO answer on the final turn, so persistence could not be read (not a half-life measurement)	4	4	2586.7	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	5/24	13/16	6/8	UNREAD	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8xpsr02	Paxos-pro-rr	Paxos-salt-diet	gemini-3.1-pro-high	Paxos	salt-diet	l8xpsr02 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T20:44:50Z LANDED landing-1 dfb08bdf855a	2026-09-24T21:39:41Z LANDED landing-2 93baa327a2c9 declared-after-P1=yes	5	4	1678.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	23/24	0/16	1/8	declared-after-P1=yes	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8xpsr03	Paxos-pro-rr	Paxos-salt-diet	gemini-3.1-pro-high	Paxos	salt-diet	l8xpsr03 PASS shell-ok+fence-ok	1	0	d734016187b07fdf	2026-09-24T22:53:51Z LANDED landing-1 55dcd26d8043	2026-09-24T23:10:57Z LANDED landing-2 3426ffab4459 declared-after-P1=yes	4	4	435.9	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	24/24	0/16	0/8	declared-after-P1=yes	l8u-Paxos-pro-rr-2026-09-24-paxos-score/cells-l8-paxos-pro-salt-sc-rerun.p2.score.txt	l8u-2026-09-24-paxos/harvest-Paxos-pro-rr/l8-cells.tsv
l8ffpr01	FreeList-flash-rr	FreeList-plain	gemini-3.8-flash-high	FreeList	plain	l8ffpr01 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T00:07:01Z LANDED landing-1 aea27347dcb5	2026-09-25T00:13:33Z LANDED landing-2 119f90681467 declared-after-P1=yes	4	4	375.0	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
l8ffpr02	FreeList-flash-rr	FreeList-plain	gemini-3.8-flash-high	FreeList	plain	l8ffpr02 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T00:20:43Z LANDED landing-1 733dc31e07c3	2026-09-25T01:02:25Z LANDED landing-2 3154dd140278 declared-after-P1=yes	3	3	395.7	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	9/9	0/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
l8ffpr03	FreeList-flash-rr	FreeList-plain	gemini-3.8-flash-high	FreeList	plain	l8ffpr03 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T01:08:45Z LANDED landing-1 f53a3a2d3832	2026-09-25T01:16:28Z LANDED landing-2 d8ed7da13ef2 declared-after-P1=yes	4	4	445.6	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	PASS	9/9	0/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-plain-sc-rerun.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
l8ffsra201	FreeList-flash-rr	FreeList-salt-diet	gemini-3.8-flash-high	FreeList	salt-diet	l8ffsra201 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T02:57:01Z LANDED landing-1 dde6e9beccbd	2026-09-25T03:26:03Z LANDED landing-2 e094afd3695b declared-after-P1=yes	4	3	601.1	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	8/9	1/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
l8ffsra202	FreeList-flash-rr	FreeList-salt-diet	gemini-3.8-flash-high	FreeList	salt-diet	l8ffsra202 PASS shell-ok+fence-ok	1	0	152d58075642ea3c	2026-09-25T03:38:11Z LANDED landing-1 d321033817cd	2026-09-25T04:24:27Z LANDED landing-2 be8a5bc0d0ba declared-after-P1=yes	4	3	741.2	0	max_turns:40,max_wall:21600,persist_timeout:600,print_timeout:1800s,turn_timeout:2100	SCORED	FAIL	6/9	3/7	0/2	declared-after-P1=yes	l8u-FreeList-flash-rr-2026-09-24-freelist-score/cells-l8-freelist-flash-salt-sc-rerun-a2.p2.score.txt	l8u-2026-09-24-freelist/harvest-FreeList-flash-rr/l8-cells.tsv
