cell	task	arm	end	cost_usd	censored	tests	T	output	cache_read	commits	meter
011fe22f	LRU	salt-diet	LANDED	12.58	no	23/23	17957807	99414	17638932	11	harvest-v3/011fe22f-20260910T214050Z/METER.txt
11165871	Crc32	salt-diet	LANDED	10.29	no	10/10	11010789	129471	10608834	7	harvest-v3/11165871-20260910T214052Z/METER.txt
188f422b	FreeList	plain	LANDED	10.19	no	9/9	9465206	178615	8937884	9	harvest-v3/188f422b-20260910T214054Z/METER.txt
2d0c65b3	Crc32	plain	LANDED	12.42	no	10/10	13905305	158361	13443292	9	harvest-v3/2d0c65b3-20260910T214054Z/METER.txt
3bdcbcbd	LRU	plain	LANDED	13.36	no	23/23	17207878	128062	16724531	6	harvest-v3/3bdcbcbd-20260910T214055Z/METER.txt
3e95075c	Crc32	salt-diet	LANDED	7.83	no	10/10	7941688	102011	7633791	10	harvest-v3/3e95075c-20260910T214056Z/METER.txt
57a33630	Crc32	salt-diet	LANDED	9.69	no	10/10	11163251	121340	10796834	12	harvest-v3/57a33630-20260910T214057Z/METER.txt
60a056e6	Paxos	plain	LANDED	14.53	no	24/24	13585333	208840	13030501	12	harvest-v3/60a056e6-20260910T214059Z/METER.txt
69e8c2c4	LRU	plain	LANDED	13.69	no	23/23	17572652	116795	17149224	7	harvest-v3/69e8c2c4-20260910T214100Z/METER.txt
746d7d4e	Crc32	plain	LANDED	13.68	no	10/10	16521506	140049	16080258	9	harvest-v3/746d7d4e-20260910T214100Z/METER.txt
7ac56e4e	LZW	salt-diet	LANDED	15.66	no	15/15	16880125	194630	16396472	13	harvest-v3/7ac56e4e-20260910T214101Z/METER.txt
9cb8ce96	FreeList	plain	LANDED	12.24	no	9/9	13202431	166753	12683440	11	harvest-v3/9cb8ce96-20260910T214103Z/METER.txt
9e6c8d4d	Paxos	salt-diet	CAP-COST	18.62	yes	24/24	17933837	254053	17241360	9	harvest-v3/9e6c8d4d-20260910T214104Z/METER.txt
a87b7740	Crc32	plain	LANDED	15.52	no	10/10	18468172	185986	17819310	10	harvest-v3/a87b7740-20260910T214105Z/METER.txt
b22d1000	Paxos	salt-diet	CAP-COST	19.56	yes	0/0	23037266	208635	22491745	12	harvest-v3/b22d1000-20260910T214106Z/METER.txt
b71994e3	LRU	salt-diet	LANDED	8.78	no	23/23	10969243	81648	10699587	8	harvest-v3/b71994e3-20260910T214108Z/METER.txt
d6b53ee4	LRU	salt-diet	LANDED	7.70	no	23/23	9122997	81705	8860880	10	harvest-v3/d6b53ee4-20260910T214109Z/METER.txt
f33c7e65	FreeList	salt-diet	LANDED	14.81	no	8/9	19337066	128249	18952725	10	harvest-v3/f33c7e65-20260910T214111Z/METER.txt
f6462d47	Paxos	plain	CAP-COST	19.78	yes	23/24	19317000	270062	18586907	8	harvest-v3/f6462d47-20260910T214113Z/METER.txt
