cell	task	arm	extras	kind	class	tests	secs	root
011fe22f	LRU	salt-diet	none	LANDED	PASS	16/16	5	matrix-root
11165871	Crc32	salt-diet	none	LANDED	PASS	6/6	6	matrix-root
161b5a34	FreeList	salt-diet	none	CAP-COST	PASS	7/7	6	matrix-root
188f422b	FreeList	plain	none	LANDED	PASS	7/7	5	matrix-root
18fb3eed	LZW	salt-diet	none	LANDED	PASS	8/8	6	matrix-root
22ee7d33	LZW	plain	statement	LANDED	PASS	8/8	6	matrix-root
2d0c65b3	Crc32	plain	none	LANDED	PASS	6/6	5	matrix-root
3bdcbcbd	LRU	plain	none	LANDED	PASS	16/16	6	matrix-root
3e95075c	Crc32	salt-diet	none	LANDED	PASS	6/6	5	matrix-root
57a33630	Crc32	salt-diet	none	LANDED	PASS	6/6	6	matrix-root
59c93bbe	LRU	plain	none	FAILED-BOOTS	FAIL	2/16	5	matrix-root
60a056e6	Paxos	plain	none	LANDED	PASS	17/17	6	matrix-root
69e8c2c4	LRU	plain	none	LANDED	PASS	16/16	6	matrix-root
6d58f1ec	LZW	salt-diet	statement	LANDED	PASS	8/8	6	matrix-root
6fc49f7c	Paxos	salt-diet	none	CAP-COST	PASS	17/17	6	matrix-root
746d7d4e	Crc32	plain	none	LANDED	PASS	6/6	6	matrix-root
7ac56e4e	LZW	salt-diet	none	LANDED	PASS	8/8	5	matrix-root
7fa6c322	Paxos	salt-diet	none	FAILED-BOOTS	FAIL	0/17	6	matrix-root
823de693	FreeList	salt-diet	none	FAILED-BOOTS	FAIL	3/7	6	matrix-root
879326db	LRU	salt-diet	none	FAILED-BOOTS	FAIL	2/16	5	matrix-root
922d1ff0	LZW	plain	statement	LANDED	PASS	8/8	6	matrix-root
93323249	LZW	plain	none	LANDED	PASS	8/8	5	matrix-root
9aca67c5	LZW	salt-diet	statement	LANDED	PASS	8/8	6	matrix-root
9cb8ce96	FreeList	plain	none	LANDED	PASS	7/7	6	matrix-root
9e6c8d4d	Paxos	salt-diet	none	LANDED	PASS	17/17	6	matrix-root
a87b7740	Crc32	plain	none	LANDED	PASS	6/6	5	matrix-root
b22d1000	Paxos	salt-diet	none	LANDED	PASS	17/17	7	matrix-root
b71994e3	LRU	salt-diet	none	LANDED	PASS	16/16	5	matrix-root
c34012e0	LZW	plain	none	LANDED	PASS	8/8	6	matrix-root
d6b53ee4	LRU	salt-diet	none	LANDED	PASS	16/16	6	matrix-root
d91f137b	LZW	plain	none	LANDED	PASS	8/8	5	matrix-root
de4de8f2	FreeList	salt-diet	none	CAP-COST	PASS	7/7	6	matrix-root
eb558398	LZW	salt-diet	none	LANDED	PASS	8/8	6	matrix-root
f33c7e65	FreeList	salt-diet	none	LANDED	FAIL	6/7	5	matrix-root
f5f66c47	LZW	salt-diet	statement	LANDED	PASS	8/8	6	matrix-root
f6462d47	Paxos	plain	none	LANDED	PASS	17/17	7	matrix-root
f795e96f	LZW	plain	statement	LANDED	PASS	8/8	5	matrix-root
n301free	FreeList	plain	none	LANDED	PASS	7/7	6	top-up
n302lru	LRU	plain	none	LANDED	PASS	16/16	6	top-up
n303paxo	Paxos	plain	none	LANDED	PASS	17/17	6	top-up
ae304f63	FreeList	plain	none	LANDED	PASS	7/7	5	smoke-SS12
a69e9131	LRU	plain	none	LANDED	PASS	16/16	6	smoke-SS12
b7537006	Paxos	plain	none	LANDED	PASS	17/17	6	smoke-SS12
DONE
