cell	task	arm	tests	N	trunc	turns_sent	results	wall_s	max_turns	max_wall	done_reason	landed	cred_fault	false_done	T	cache_read	output_tok	end_marker
s3cpb01	Crc32	plain	6	6	0	3	3	166	40	21600	LANDED	True	0	0	859392	721548	11237	LANDED
s3cpb02	Crc32	plain	6	6	0	3	3	207	40	21600	LANDED	True	0	0	1193654	1030320	13953	LANDED
s3cpb03	Crc32	plain	6	6	0	3	3	147	40	21600	LANDED	True	0	0	757261	635680	9624	LANDED
s3cq01	Crc32	plain+stmt	6	6	0	3	3	202	40	21600	LANDED	True	0	0	1014677	829682	14042	LANDED
s3cq02	Crc32	plain+stmt	6	6	0	3	3	218	40	21600	LANDED	True	0	0	1222527	968100	11611	LANDED
s3cq03	Crc32	plain+stmt	6	6	0	3	3	229	40	21600	LANDED	True	0	0	1409097	1198460	13836	LANDED
s3cs01	Crc32	salt-diet	6	6	0	4	4	1596	40	21600	LANDED	True	0	0	7155492	5325033	62879	LANDED
s3cs02	Crc32	salt-diet	6	6	0	3	3	1722	40	21600	LANDED	True	0	0	11502404	9669229	64620	LANDED
s3cs03	Crc32	salt-diet	6	6	0	3	3	1308	40	21600	LANDED	True	0	0	9675734	8369007	63153	LANDED
s3ct01	Crc32	salt-diet+stmt	6	6	1	7	7	1950	40	21600	LANDED	True	0	2	22967361	21430365	96763	LANDED
s3ct02	Crc32	salt-diet+stmt	6	6	0	3	3	1289	40	21600	LANDED	True	0	0	11474133	10630130	60909	LANDED
s3ct03	Crc32	salt-diet+stmt	UNFIRED	-	0	-	-	-	-	-	-	-	-	-	-	-	-	NEVER-FIRED
s3lp01	LRU	plain	16	16	0	3	3	344	40	21600	LANDED	True	0	0	1466321	1192034	19409	LANDED
s3lp02	LRU	plain	16	16	0	3	3	678	40	21600	LANDED	True	0	0	1333005	879429	12305	LANDED
s3lp03	LRU	plain	16	16	0	3	3	613	40	21600	LANDED	True	0	0	2475940	2073624	22968	LANDED
s3lq01	LRU	plain+stmt	16	16	0	3	3	241	40	21600	LANDED	True	0	0	1080062	884299	14749	LANDED
s3lq02	LRU	plain+stmt	16	16	0	3	3	201	40	21600	LANDED	True	0	0	934642	730715	12658	LANDED
s3lq03	LRU	plain+stmt	16	16	0	4	4	229	40	21600	LANDED	True	0	0	1181818	966807	18138	LANDED
s3ls01	LRU	salt-diet	16	16	1	5	5	2578	40	21600	LANDED	True	0	0	14708151	12948994	91157	PERSIST-FAILED
s3ls02	LRU	salt-diet	16	16	0	4	4	670	40	21600	LANDED	True	0	0	5532420	5048528	57344	LANDED
s3ls03	LRU	salt-diet	16	16	0	3	3	1318	40	21600	LANDED	True	0	0	9543326	8502444	63692	LANDED
s3lt01	LRU	salt-diet+stmt	16	16	0	4	4	989	40	21600	LANDED	True	0	0	10360342	9506440	96876	LANDED
s3lt02	LRU	salt-diet+stmt	16	16	1	5	5	2111	40	21600	LANDED	True	0	0	13689750	12416343	74148	LANDED
s3lt03	LRU	salt-diet+stmt	16	16	0	4	4	968	40	21600	LANDED	True	0	0	7291963	6742847	86575	LANDED
s3fp01	FreeList	plain	7	7	0	4	4	332	40	21600	LANDED	True	0	0	1290763	1126549	28101	LANDED
s3fp02	FreeList	plain	UNFIRED	-	0	-	-	-	-	-	-	-	-	-	-	-	-	NEVER-FIRED
s3fp03	FreeList	plain	UNFIRED	-	0	-	-	-	-	-	-	-	-	-	-	-	-	NEVER-FIRED
s3fq01	FreeList	plain+stmt	7	7	0	5	5	348	40	21600	LANDED	True	0	0	1652193	1463214	27694	LANDED
s3fq02	FreeList	plain+stmt	7	7	0	4	4	291	40	21600	LANDED	True	0	0	1746019	1546854	23026	LANDED
s3fq03	FreeList	plain+stmt	UNFIRED	-	0	-	-	-	-	-	-	-	-	-	-	-	-	NEVER-FIRED
s3fs01	FreeList	salt-diet	0	7	0	8	8	1966	40	21600	LANDED	True	0	1	10498033	9551669	110900	LANDED
s3fs02	FreeList	salt-diet	3	7	0	6	6	2189	40	21600	LANDED	True	0	0	7002032	6255193	71102	LANDED
s3fs03	FreeList	salt-diet	6	7	0	5	5	3173	40	21600	LANDED	True	0	0	14890233	13373461	97646	LANDED
s3ft01	FreeList	salt-diet+stmt	7	7	0	4	4	2508	40	21600	LANDED	True	0	0	25100454	23556275	143047	LANDED
s3ft02	FreeList	salt-diet+stmt	3	7	0	5	3	5539	40	21600	TURN-TIMEOUT	False	1	0	12610137	11805069	80594	PERSIST-INDETERMINATE
s3ft03	FreeList	salt-diet+stmt	3	7	1	5	3	3598	40	21600	TURN-TIMEOUT	False	2	0	12008781	11096379	80906	PERSIST-INDETERMINATE
s3pp01	Paxos	plain	16	17	0	3	3	214	40	21600	LANDED	True	0	0	1114181	962706	19368	LANDED
s3pp02	Paxos	plain	16	17	0	4	4	211	40	21600	LANDED	True	0	0	1176979	1025569	18636	LANDED
s3pp03	Paxos	plain	17	17	0	3	3	417	40	21600	LANDED	True	0	0	2315056	2077058	40060	LANDED
s3ps01	Paxos	salt-diet	9	17	0	4	4	832	40	21600	LANDED	True	0	0	8572636	7916826	63331	LANDED
s3ps02	Paxos	salt-diet	17	17	0	6	4	3577	40	21600	TURN-TIMEOUT	False	2	0	14987158	13504486	117176	PERSIST-INDETERMINATE
s3ps03	Paxos	salt-diet	17	17	0	6	4	3582	40	21600	TURN-TIMEOUT	False	2	0	23396293	21696018	132908	PERSIST-INDETERMINATE
