# LEVEL 7 retention decomposition — the same split applied to RESULT-gemini-level7-2026-09-19s 84 cells.
# Every `retained` is asserted EQUAL to brownfield_rewrite_class.classify()s own value (this script
# imports the level-7 export s OWN classifier and fails otherwise). W1 seed tree: /Users/jyh/projects/claude/saltbench-systems-v3-export-9bfb6ef/tasks/systems-v3
# surv = matched seed lines / seed lines   growth = end lines / seed lines   (same differ, autojunk=False)
cell	task	arm	class	retained	surv	growth	seed_lines	end_lines	kept	end_from	err
l7cfbp01	Crc32	plain	REPAIRED	0.673	0.700	1.08	50	54	35	HEAD	
l7cfbp02	Crc32	plain	REPAIRED	0.660	0.700	1.12	50	56	35	HEAD	
l7cfbp03	Crc32	plain	REPAIRED	0.648	0.700	1.16	50	58	35	HEAD	
l7cfbs01	Crc32	salt	REPAIRED	0.372	0.800	3.30	50	165	40	HEAD	
l7cfbs02	Crc32	salt	REPAIRED	0.332	0.720	3.34	50	167	36	HEAD	
l7cfbs03	Crc32	salt	REPAIRED	0.252	0.680	4.40	50	220	34	HEAD	
l7cfsp01	Crc32	plain	REPAIRED	0.529	0.640	1.42	50	71	32	HEAD	
l7cfsp02	Crc32	plain	REPAIRED	0.817	0.940	1.30	50	65	47	HEAD	
l7cfsp03	Crc32	plain	REPAIRED	0.529	0.640	1.42	50	71	32	HEAD	
l7cfss01	Crc32	salt	REPAIRED	0.235	0.720	5.12	50	256	36	HEAD	
l7cfss02	Crc32	salt	UNTOUCHED	1.000	1.000	1.00	50	50	50	HEAD	
l7cfss03	Crc32	salt	UNTOUCHED	1.000	1.000	1.00	50	50	50	HEAD	
l7cpbp01	Crc32	plain	REPAIRED	0.713	0.720	1.02	50	51	36	HEAD	
l7cpbp02	Crc32	plain	REPAIRED	0.674	0.620	0.84	50	42	31	HEAD	
l7cpbp03	Crc32	plain	REPAIRED	0.674	0.620	0.84	50	42	31	HEAD	
l7cpbs01	Crc32	salt	REPAIRED	0.236	0.740	5.26	50	263	37	HEAD	
l7cpbs02	Crc32	salt	REPAIRED	0.236	0.860	6.30	50	315	43	HEAD	
l7cpbs03	Crc32	salt	REPAIRED	0.289	0.880	5.08	50	254	44	HEAD	
l7cpsp01	Crc32	plain	REPAIRED	0.364	0.520	1.86	50	93	26	HEAD	
l7cpsp02	Crc32	plain	REPAIRED	0.980	0.980	1.00	50	50	49	HEAD	
l7cpsp03	Crc32	plain	REPAIRED	0.753	0.700	0.86	50	43	35	HEAD	
l7cpssa201	Crc32	salt	REPAIRED	0.246	0.840	5.82	50	291	42	HEAD	
l7cpssa202	Crc32	salt	REPAIRED	0.224	0.760	5.80	50	290	38	HEAD	
l7cpssa203	Crc32	salt	REPAIRED	0.238	0.780	5.56	50	278	39	HEAD	
