# W1 seed tree: /Users/jyh/projects/claude/saltbench-systems-v3-export-2833621/tasks/systems-v3
# threshold: REPLACED below 0.20, registered pre-data (AMENDMENT-brownfield-2026-09-13 §B5)
cell	task	class	run_state	retained	end_read_from	w1_fenced	seed_sha	end_sha	note
clbbcp01	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.980	HEAD	COVERED	61a04675715e66c1	fa4beca2d83c599c	
clbbcp02	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.980	HEAD	COVERED	61a04675715e66c1	fa4beca2d83c599c	
clbbcp03	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.980	HEAD	COVERED	61a04675715e66c1	fa4beca2d83c599c	
clbbcs01	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.317	HEAD	COVERED	61a04675715e66c1	79c0818c937d827f	
clbbcs02	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.248	HEAD	COVERED	61a04675715e66c1	66f90731f3897370	
clbbcs03	Crc32	REPAIRED	ENDED: LANDED (ctl/end-1)	0.340	HEAD	COVERED	61a04675715e66c1	f0c969c4e23acf80	
clbbfp01	FreeList	REPAIRED	ENDED: LANDED (ctl/end-1)	0.823	HEAD	COVERED	528ea4a5097cab56	cd7f9ba695eb79db	
clbbfp02	FreeList	REPAIRED	ENDED: LANDED (ctl/end-1)	0.909	HEAD	COVERED	528ea4a5097cab56	fda019b8d625eb2c	
clbbfp03	FreeList	REPAIRED	ENDED: LANDED (ctl/end-1)	0.869	HEAD	COVERED	528ea4a5097cab56	69b5f028d2fccca2	
clbbfs01	FreeList	REPLACED	ENDED: CAP-COST (ctl/end-1)	0.139	working tree	COVERED	528ea4a5097cab56	e508373b583ea190	
clbbfs02	FreeList	REPAIRED	ENDED: LANDED (ctl/end-1)	0.301	HEAD	COVERED	528ea4a5097cab56	bb5a7f64d240b5ed	
clbbfs03	FreeList	REPAIRED	ENDED: CAP-COST (ctl/end-1)	0.225	HEAD	COVERED	528ea4a5097cab56	d496dd60a25ee9a9	
clbblp01	LRU	REPAIRED	ENDED: LANDED (ctl/end-1)	0.981	HEAD	COVERED	d9b2f3d364f3a6c6	5b15c6e7ebfa14bf	
clbblp02	LRU	REPAIRED	ENDED: LANDED (ctl/end-1)	0.981	HEAD	COVERED	d9b2f3d364f3a6c6	5b15c6e7ebfa14bf	
clbblp03	LRU	REPAIRED	ENDED: LANDED (ctl/end-1)	0.976	HEAD	COVERED	d9b2f3d364f3a6c6	1987d265fd5a1ac5	
clbbls01	LRU	REPAIRED	ENDED: LANDED (ctl/end-1)	0.273	HEAD	COVERED	d9b2f3d364f3a6c6	f75d1868bd715ed4	
clbbls02	LRU	REPAIRED	ENDED: LANDED (ctl/end-1)	0.219	HEAD	COVERED	d9b2f3d364f3a6c6	661cc8d611e695f6	
clbbls03	LRU	REPLACED	ENDED: LANDED (ctl/end-1)	0.191	HEAD	COVERED	d9b2f3d364f3a6c6	74f4692b4f948824	
clbbpp01	Paxos	REPAIRED	ENDED: LANDED (ctl/end-1)	0.980	HEAD	COVERED	1ce92803be426d32	aa12db9abf9ff8dc	
clbbpp02	Paxos	REPAIRED	ENDED: LANDED (ctl/end-1)	0.958	HEAD	COVERED	1ce92803be426d32	f062a5e642857ab3	
clbbpp03	Paxos	REPAIRED	ENDED: LANDED (ctl/end-1)	0.971	HEAD	COVERED	1ce92803be426d32	89b724d163bdc0b3	
clbbps01	Paxos	REPLACED	ENDED: DIALOG (ctl/end-1)	0.184	working tree	COVERED	1ce92803be426d32	38ef69bd92c78496	
clbbps02	Paxos	REPAIRED	ENDED: CAP-COST (ctl/end-1)	0.346	HEAD	COVERED	1ce92803be426d32	98a537122720b383	
clbbps03	Paxos	REPLACED	ENDED: CAP-COST (ctl/end-1)	0.149	working tree	COVERED	1ce92803be426d32	f26de451cd622ce1	
clbbzp01	LZW	REPAIRED	ENDED: LANDED (ctl/end-1)	0.426	HEAD	COVERED	478b2035f6fcc7a4	71b42aaa73cc38f0	
clbbzp02	LZW	REPAIRED	ENDED: LANDED (ctl/end-1)	0.469	HEAD	COVERED	478b2035f6fcc7a4	a8f944ce80fb7c7d	
clbbzp03	LZW	REPAIRED	ENDED: LANDED (ctl/end-1)	0.818	HEAD	COVERED	478b2035f6fcc7a4	f3cc8ab275a5d92d	
clbbzs01	LZW	REPLACED	ENDED: LANDED (ctl/end-1)	0.102	HEAD	COVERED	478b2035f6fcc7a4	2614007c09907606	
clbbzs02	LZW	REPLACED	ENDED: LANDED (ctl/end-1)	0.112	HEAD	COVERED	478b2035f6fcc7a4	fba76fd2f37d8846	
clbbzs03	LZW	REPLACED	ENDED: LANDED (ctl/end-1)	0.132	HEAD	COVERED	478b2035f6fcc7a4	ad69121cf12a80bb	
