cell	arm	task	kind	at_end_T	at_end_COST	final_T	final_COST	delta_T	cap_unit	cap
clbbcp01	plain	Crc32	LANDED	1455527	0.7597	1864663	0.9014	409136	COST	37.21
clbbcp02	plain	Crc32	LANDED	890707	0.4814	1136732	0.5513	246025	COST	37.21
clbbcp03	plain	Crc32	LANDED	1360408	0.7459	1844699	0.9124	484291	COST	37.21
clbbcs01	salt-diet	Crc32	LANDED	9099883	3.7661	10573448	4.1133	1473565	COST	37.21
clbbcs02	salt-diet	Crc32	LANDED	15910893	5.4161	17300243	5.7492	1389350	COST	37.21
clbbcs03	salt-diet	Crc32	LANDED	7942629	3.3158	9111645	3.5780	1169016	COST	37.21
clbbfp01	plain	FreeList	LANDED	8488424	4.4556	9510181	4.7537	1021757	COST	37.21
clbbfp02	plain	FreeList	LANDED	2320979	1.4916	2659762	1.5851	338783	COST	37.21
clbbfp03	plain	FreeList	LANDED	4944475	2.3318	5289799	2.4125	345324	COST	37.21
clbbfs01	salt-diet	FreeList	CAP-COST	137042660	37.4084	139053716	37.8501	2011056	COST	37.21
clbbfs02	salt-diet	FreeList	LANDED	94630257	28.4587	96655548	28.9152	2025291	COST	37.21
clbbfs03	salt-diet	FreeList	CAP-COST	129225268	37.4300	129225268	37.4300	0	COST	37.21
clbblp01	plain	LRU	LANDED	1211138	0.6666	2030381	0.9246	819243	COST	37.21
clbblp02	plain	LRU	LANDED	1562005	0.7826	1960957	0.9443	398952	COST	37.21
clbblp03	plain	LRU	LANDED	2006394	0.9478	2259355	1.0246	252961	COST	37.21
clbbls01	salt-diet	LRU	LANDED	16265037	6.3020	17021913	6.4961	756876	COST	37.21
clbbls02	salt-diet	LRU	LANDED	22219310	7.4651	23514670	7.7427	1295360	COST	37.21
clbbls03	salt-diet	LRU	LANDED	26969846	8.5874	28968853	9.0527	1999007	COST	37.21
clbbpp01	plain	Paxos	LANDED	5531559	2.8456	6151825	3.0502	620266	COST	37.21
clbbpp02	plain	Paxos	LANDED	5256955	3.2926	5907946	3.4601	650991	COST	37.21
clbbpp03	plain	Paxos	LANDED	5762864	2.5845	6674641	2.8717	911777	COST	37.21
clbbps01	salt-diet	Paxos	DIALOG	94092827	28.1661	94783997	28.3143	691170	COST	37.21
clbbps02	salt-diet	Paxos	CAP-COST	154970100	37.9576	154970100	37.9576	0	COST	37.21
clbbps03	salt-diet	Paxos	CAP-COST	154795624	37.9185	154795624	37.9185	0	COST	37.21
clbbzp01	plain	LZW	LANDED	2668275	1.3506	3115443	1.5162	447168	COST	37.21
clbbzp02	plain	LZW	LANDED	3621965	2.0695	3989904	2.1726	367939	COST	37.21
clbbzp03	plain	LZW	LANDED	1164620	0.8425	1660569	1.0126	495949	COST	37.21
clbbzs01	salt-diet	LZW	LANDED	57423909	18.8662	59322626	19.2957	1898717	COST	37.21
clbbzs02	salt-diet	LZW	LANDED	63457793	20.2461	64809739	20.5363	1351946	COST	37.21
clbbzs03	salt-diet	LZW	LANDED	40691558	13.8731	42027486	14.1849	1335928	COST	37.21
