# retention decomposition, block SB. Every `retained` below is asserted EQUAL to
# brownfield_rewrite_class.classify()s own value (the script imports the tool and fails otherwise).
# W1 seed tree: /Users/jyh/projects/claude/saltbench-systems-v3-export-2833621/tasks/systems-v3   (the export the cells were BUILT from)
# surv = matched seed lines / seed lines   growth = end lines / seed lines   (same differ, autojunk=False)
cell	task	arm	class	seed_lines	end_lines	retained	kept	surv	growth	end_from
clbbcp01	Crc32	plain	REPAIRED	50	50	0.980	49	0.980	1.00	HEAD
clbbcp02	Crc32	plain	REPAIRED	50	50	0.980	49	0.980	1.00	HEAD
clbbcp03	Crc32	plain	REPAIRED	50	50	0.980	49	0.980	1.00	HEAD
clbbcs01	Crc32	salt-diet	REPAIRED	50	215	0.317	42	0.840	4.30	HEAD
clbbcs02	Crc32	salt-diet	REPAIRED	50	289	0.248	42	0.840	5.78	HEAD
clbbcs03	Crc32	salt-diet	REPAIRED	50	203	0.340	43	0.860	4.06	HEAD
clbbfp01	FreeList	plain	REPAIRED	192	226	0.823	172	0.896	1.18	HEAD
clbbfp02	FreeList	plain	REPAIRED	192	204	0.909	180	0.938	1.06	HEAD
clbbfp03	FreeList	plain	REPAIRED	192	213	0.869	176	0.917	1.11	HEAD
clbbfs01	FreeList	salt-diet	REPLACED	192	1395	0.139	110	0.573	7.27	working tree
clbbfs02	FreeList	salt-diet	REPAIRED	192	1077	0.301	191	0.995	5.61	HEAD
clbbfs03	FreeList	salt-diet	REPAIRED	192	1303	0.225	168	0.875	6.79	HEAD
clbblp01	LRU	plain	REPAIRED	102	104	0.981	101	0.990	1.02	HEAD
clbblp02	LRU	plain	REPAIRED	102	104	0.981	101	0.990	1.02	HEAD
clbblp03	LRU	plain	REPAIRED	102	105	0.976	101	0.990	1.03	HEAD
clbbls01	LRU	salt-diet	REPAIRED	102	557	0.273	90	0.882	5.46	HEAD
clbbls02	LRU	salt-diet	REPAIRED	102	638	0.219	81	0.794	6.25	HEAD
clbbls03	LRU	salt-diet	REPLACED	102	683	0.191	75	0.735	6.70	HEAD
clbbpp01	Paxos	plain	REPAIRED	377	382	0.980	372	0.987	1.01	HEAD
clbbpp02	Paxos	plain	REPAIRED	377	385	0.958	365	0.968	1.02	HEAD
clbbpp03	Paxos	plain	REPAIRED	377	387	0.971	371	0.984	1.03	HEAD
clbbps01	Paxos	salt-diet	REPLACED	377	2179	0.184	235	0.623	5.78	working tree
clbbps02	Paxos	salt-diet	REPAIRED	377	1477	0.346	321	0.851	3.92	HEAD
clbbps03	Paxos	salt-diet	REPLACED	377	1740	0.149	158	0.419	4.62	working tree
clbbzp01	LZW	plain	REPAIRED	100	97	0.426	42	0.420	0.97	HEAD
clbbzp02	LZW	plain	REPAIRED	100	96	0.469	46	0.460	0.96	HEAD
clbbzp03	LZW	plain	REPAIRED	100	103	0.818	83	0.830	1.03	HEAD
clbbzs01	LZW	salt-diet	REPLACED	100	1470	0.102	80	0.800	14.70	HEAD
clbbzs02	LZW	salt-diet	REPLACED	100	1092	0.112	67	0.670	10.92	HEAD
clbbzs03	LZW	salt-diet	REPLACED	100	973	0.132	71	0.710	9.73	HEAD
