# toolchain env: /Users/jyh/cells/toolchain.env
score_claude: tools from /Users/jyh/projects/claude/saltbench-systems-v3-export-2833621/harness/systems-v3 (export 283362105d75 (EXPORTED-FROM.sha; not a git tree)) · tasks from /Users/jyh/bench-dry/sb-composed-export/tasks/systems-v3 (not a git tree, no EXPORTED-FROM.sha)
cell	problem	arm	field	extras	run_state	end	suite	tests	failing	V1_bugs_fixed	bugs_introduced	class	retained	w1_fenced	note
clbbcp01	Crc32	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	COVERED	end read from HEAD; baseline TESTS 1/6
clbbcp02	Crc32	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	COVERED	end read from HEAD; baseline TESTS 1/6
clbbcp03	Crc32	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.980	COVERED	end read from HEAD; baseline TESTS 1/6
clbbcs01	Crc32	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.317	COVERED	end read from HEAD; baseline TESTS 1/6
clbbcs02	Crc32	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.248	COVERED	end read from HEAD; baseline TESTS 1/6
clbbcs03	Crc32	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	6/6	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.340	COVERED	end read from HEAD; baseline TESTS 1/6
clbbfp01	FreeList	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPAIRED	0.823	COVERED	end read from HEAD; baseline TESTS 6/7
clbbfp02	FreeList	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPAIRED	0.909	COVERED	end read from HEAD; baseline TESTS 6/7
clbbfp03	FreeList	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPAIRED	0.869	COVERED	end read from HEAD; baseline TESTS 6/7
clbbfs01	FreeList	salt-diet	brownfield	none	ENDED: CAP-COST	CAP-COST	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPLACED	0.139	COVERED	end read from working tree; baseline TESTS 6/7
clbbfs02	FreeList	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPAIRED	0.301	COVERED	end read from HEAD; baseline TESTS 6/7
clbbfs03	FreeList	salt-diet	brownfield	none	ENDED: CAP-COST	CAP-COST	PASS	7/7	none	1 of 1	>=0 (suite-limited)	REPAIRED	0.225	COVERED	end read from HEAD; baseline TESTS 6/7
clbblp01	LRU	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	COVERED	end read from HEAD; baseline TESTS 10/16
clbblp02	LRU	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.981	COVERED	end read from HEAD; baseline TESTS 10/16
clbblp03	LRU	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.976	COVERED	end read from HEAD; baseline TESTS 10/16
clbbls01	LRU	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.273	COVERED	end read from HEAD; baseline TESTS 10/16
clbbls02	LRU	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.219	COVERED	end read from HEAD; baseline TESTS 10/16
clbbls03	LRU	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	16/16	none	6 of 6	>=0 (suite-limited)	REPLACED	0.191	COVERED	end read from HEAD; baseline TESTS 10/16
clbbpp01	Paxos	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.980	COVERED	end read from HEAD; baseline TESTS 11/17
clbbpp02	Paxos	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.958	COVERED	end read from HEAD; baseline TESTS 11/17
clbbpp03	Paxos	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.971	COVERED	end read from HEAD; baseline TESTS 11/17
clbbps01	Paxos	salt-diet	brownfield	none	ENDED: DIALOG	DIALOG	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPLACED	0.184	COVERED	end read from working tree; baseline TESTS 11/17
clbbps02	Paxos	salt-diet	brownfield	none	ENDED: CAP-COST	CAP-COST	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPAIRED	0.346	COVERED	end read from HEAD; baseline TESTS 11/17
clbbps03	Paxos	salt-diet	brownfield	none	ENDED: CAP-COST	CAP-COST	PASS	17/17	none	6 of 6	>=0 (suite-limited)	REPLACED	0.149	COVERED	end read from working tree; baseline TESTS 11/17
clbbzp01	LZW	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.426	COVERED	end read from HEAD; baseline TESTS 3/8
clbbzp02	LZW	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.469	COVERED	end read from HEAD; baseline TESTS 3/8
clbbzp03	LZW	plain	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPAIRED	0.818	COVERED	end read from HEAD; baseline TESTS 3/8
clbbzs01	LZW	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPLACED	0.102	COVERED	end read from HEAD; baseline TESTS 3/8
clbbzs02	LZW	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPLACED	0.112	COVERED	end read from HEAD; baseline TESTS 3/8
clbbzs03	LZW	salt-diet	brownfield	none	ENDED: LANDED	LANDED	PASS	8/8	none	5 of 5	>=0 (suite-limited)	REPLACED	0.132	COVERED	end read from HEAD; baseline TESTS 3/8
